control,ano,quantidade_litros
vinho_de_mesa,1970,98327606
vinho_mesa_tinto,1970,83300735
vinho_mesa_rosado,1970,107681
vinho_mesa_branco,1970,14919190
vinho__fino_de_mesa,1970,4430629
vinho_mesa_tinto,1970,435354
vinho_mesa_rosado,1970,183234
vinho_mesa_branco,1970,3812041
vinho_frizante,1970,466480
vinho_organico,1970,0
vinho_especial,1970,7325789
vinho_especial_tinto,1970,4730346
vinho_especial_rosado,1970,1229564
vinho_especial_branco,1970,1365879
espumantes_,1970,2743678
espumante_moscatel,1970,0
espumante,1970,0
espumante_organico,1970,0
suco_de_uvas,1970,2626855
suco_natural,1970,0
suco_adocado,1970,0
suco_reprocessado,1970,0
suco_organico,1970,0
outros_sucos,1970,0
suco_de_uvas_concentrado,1970,0
nan,1970,19844550
outros_outros_vinhos__sem_informdetalhada,1970,0
outros_agrin,1970,0
outros_aguardente,1970,0
outros_alcool_vinico,1970,0
outros_bagaceira,1970,1192987
outros_base_champenoise,1970,0
outros_base_charmat,1970,0
outros_base_espumante,1970,0
outros_bebida,1970,0
outros_borra_liqwuida,1970,0
outros_borra_seca,1970,0
outros_brandy,1970,9388296
outros_cooler,1970,0
outros_coquetel,1970,0
outros_destilado,1970,533987
outros_filtrado_doce,1970,346403
outros_jeropiga,1970,0
outros_mistelas,1970,178350
outros_mosto_concentrado,1970,44971
outros_mosto_uva,1970,0
outros_mosto_sulfitado,1970,401030
outros_nectar,1970,0
outros_outros_produtos,1970,0
outros_polpa,1970,0
outros_preparado_liquido,1970,0
outros_refrigerante,1970,0
outros_sangria,1970,0
outros_vinagre_balsamico,1970,0
outros_vinagre_duplo,1970,0
outros_vinagre_simples,1970,1359297
outros_vinho_acetificado,1970,0
outros_vinho_base,1970,0
outros_vinho_composto,1970,3386173
outros_vinho_licoroso,1970,3013056
outros_vinho_leve,1970,0
outros_vinho_gaseificado,1970,0
vinho_de_mesa,1971,114399031
vinho_mesa_tinto,1971,98522869
vinho_mesa_rosado,1971,542274
vinho_mesa_branco,1971,15333888
vinho__fino_de_mesa,1971,4840369
vinho_mesa_tinto,1971,428927
vinho_mesa_rosado,1971,227299
vinho_mesa_branco,1971,4184143
vinho_frizante,1971,358116
vinho_organico,1971,0
vinho_especial,1971,7824931
vinho_especial_tinto,1971,4802828
vinho_especial_rosado,1971,1662821
vinho_especial_branco,1971,1359282
espumantes_,1971,2907289
espumante_moscatel,1971,0
espumante,1971,0
espumante_organico,1971,0
suco_de_uvas,1971,2745249
suco_natural,1971,0
suco_adocado,1971,0
suco_reprocessado,1971,0
suco_organico,1971,0
outros_sucos,1971,0
suco_de_uvas_concentrado,1971,0
nan,1971,20351384
outros_outros_vinhos__sem_informdetalhada,1971,0
outros_agrin,1971,0
outros_aguardente,1971,0
outros_alcool_vinico,1971,0
outros_bagaceira,1971,1111014
outros_base_champenoise,1971,0
outros_base_charmat,1971,0
outros_base_espumante,1971,0
outros_bebida,1971,0
outros_borra_liqwuida,1971,0
outros_borra_seca,1971,0
outros_brandy,1971,9893167
outros_cooler,1971,0
outros_coquetel,1971,0
outros_destilado,1971,1023876
outros_filtrado_doce,1971,432991
outros_jeropiga,1971,0
outros_mistelas,1971,81510
outros_mosto_concentrado,1971,20502
outros_mosto_uva,1971,0
outros_mosto_sulfitado,1971,410850
outros_nectar,1971,0
outros_outros_produtos,1971,0
outros_polpa,1971,0
outros_preparado_liquido,1971,0
outros_refrigerante,1971,0
outros_sangria,1971,0
outros_vinagre_balsamico,1971,0
outros_vinagre_duplo,1971,0
outros_vinagre_simples,1971,1256068
outros_vinho_acetificado,1971,0
outros_vinho_base,1971,0
outros_vinho_composto,1971,3645774
outros_vinho_licoroso,1971,2475632
outros_vinho_leve,1971,0
outros_vinho_gaseificado,1971,0
vinho_de_mesa,1972,118377367
vinho_mesa_tinto,1972,101167932
vinho_mesa_rosado,1972,7770851
vinho_mesa_branco,1972,9438584
vinho__fino_de_mesa,1972,5602091
vinho_mesa_tinto,1972,624499
vinho_mesa_rosado,1972,403664
vinho_mesa_branco,1972,4573928
vinho_frizante,1972,356340
vinho_organico,1972,0
vinho_especial,1972,8737605
vinho_especial_tinto,1972,4347706
vinho_especial_rosado,1972,1901801
vinho_especial_branco,1972,2488098
espumantes_,1972,3523335
espumante_moscatel,1972,0
espumante,1972,0
espumante_organico,1972,0
suco_de_uvas,1972,4069351
suco_natural,1972,0
suco_adocado,1972,0
suco_reprocessado,1972,0
suco_organico,1972,0
outros_sucos,1972,0
suco_de_uvas_concentrado,1972,59044
nan,1972,23615205
outros_outros_vinhos__sem_informdetalhada,1972,0
outros_agrin,1972,0
outros_aguardente,1972,0
outros_alcool_vinico,1972,0
outros_bagaceira,1972,1059696
outros_base_champenoise,1972,0
outros_base_charmat,1972,0
outros_base_espumante,1972,0
outros_bebida,1972,0
outros_borra_liqwuida,1972,0
outros_borra_seca,1972,0
outros_brandy,1972,11876098
outros_cooler,1972,0
outros_coquetel,1972,0
outros_destilado,1972,1573023
outros_filtrado_doce,1972,670626
outros_jeropiga,1972,0
outros_mistelas,1972,133865
outros_mosto_concentrado,1972,0
outros_mosto_uva,1972,0
outros_mosto_sulfitado,1972,447600
outros_nectar,1972,0
outros_outros_produtos,1972,0
outros_polpa,1972,0
outros_preparado_liquido,1972,0
outros_refrigerante,1972,0
outros_sangria,1972,0
outros_vinagre_balsamico,1972,0
outros_vinagre_duplo,1972,0
outros_vinagre_simples,1972,1524908
outros_vinho_acetificado,1972,0
outros_vinho_base,1972,0
outros_vinho_composto,1972,3921573
outros_vinho_licoroso,1972,2407816
outros_vinho_leve,1972,0
outros_vinho_gaseificado,1972,0
