pais,ano,quantidade_kg,quantidade_dolar
africa_do_sul,1970,0,0
alemanha,1970,0,0
argentina,1970,4980,3836
australia,1970,0,0
austria,1970,0,0
bermudas,1970,0,0
bahamas,1970,0,0
belgica,1970,0,0
brasil,1970,0,0
bulgaria,1970,0,0
canada,1970,0,0
chile,1970,0,0
croacia,1970,0,0
cuba,1970,0,0
emirados_arabes_unidos,1970,0,0
eslovenia,1970,0,0
espanha,1970,12981,8568
estados_unidos,1970,0,0
franca,1970,18458,45798
georgia,1970,0,0
granada,1970,0,0
grecia,1970,0,0
hong_kong,1970,0,0
hungria,1970,0,0
indonesia,1970,0,0
irlanda,1970,0,0
israel,1970,0,0
italia,1970,0,0
luxemburgo,1970,0,0
mexico,1970,0,0
moldavia,1970,0,0
nova_zelandia,1970,0,0
paises_baixos,1970,0,0
panama,1970,0,0
peru,1970,0,0
portugal,1970,1603,2240
reino_unido,1970,0,0
romenia,1970,0,0
suica,1970,0,0
tunisia,1970,0,0
ucrania,1970,0,0
uruguai,1970,0,0
nao_consta_na_tabela,1970,0,0
nao_declarados,1970,0,0
outros,1970,291,1859
africa_do_sul,1971,0,0
alemanha,1971,25,36
argentina,1971,8811,7543
australia,1971,0,0
austria,1971,0,0
bermudas,1971,0,0
bahamas,1971,0,0
belgica,1971,0,0
brasil,1971,0,0
bulgaria,1971,0,0
canada,1971,0,0
chile,1971,0,0
croacia,1971,0,0
cuba,1971,0,0
emirados_arabes_unidos,1971,0,0
eslovenia,1971,0,0
espanha,1971,7865,5230
estados_unidos,1971,0,0
franca,1971,26523,72645
georgia,1971,0,0
granada,1971,0,0
grecia,1971,0,0
hong_kong,1971,0,0
hungria,1971,0,0
indonesia,1971,0,0
irlanda,1971,0,0
israel,1971,360,349
italia,1971,554,485
luxemburgo,1971,0,0
mexico,1971,0,0
moldavia,1971,0,0
nova_zelandia,1971,0,0
paises_baixos,1971,0,0
panama,1971,0,0
peru,1971,0,0
portugal,1971,2054,3090
reino_unido,1971,0,0
romenia,1971,0,0
suica,1971,0,0
tunisia,1971,0,0
ucrania,1971,0,0
uruguai,1971,0,0
nao_consta_na_tabela,1971,0,0
nao_declarados,1971,0,0
outros,1971,3772,2358
africa_do_sul,1972,0,0
alemanha,1972,2864,2479
argentina,1972,35301,26909
australia,1972,0,0
austria,1972,0,0
bermudas,1972,0,0
bahamas,1972,0,0
belgica,1972,0,0
brasil,1972,0,0
bulgaria,1972,0,0
canada,1972,0,0
chile,1972,201,192
croacia,1972,0,0
cuba,1972,0,0
emirados_arabes_unidos,1972,0,0
eslovenia,1972,0,0
espanha,1972,27461,20026
estados_unidos,1972,0,0
franca,1972,35899,97186
georgia,1972,0,0
granada,1972,0,0
grecia,1972,0,0
hong_kong,1972,0,0
hungria,1972,0,0
indonesia,1972,0,0
irlanda,1972,0,0
israel,1972,0,0
italia,1972,5054,3328
luxemburgo,1972,0,0
mexico,1972,0,0
moldavia,1972,0,0
nova_zelandia,1972,0,0
paises_baixos,1972,0,0
panama,1972,0,0
peru,1972,0,0
portugal,1972,12768,18479
reino_unido,1972,0,0
romenia,1972,0,0
suica,1972,0,0
tunisia,1972,0,0
ucrania,1972,0,0
uruguai,1972,0,0
nao_consta_na_tabela,1972,0,0
nao_declarados,1972,0,0
outros,1972,576,454
africa_do_sul,1973,0,0
alemanha,1973,2900,3130
argentina,1973,39208,20230
australia,1973,0,0
austria,1973,0,0
bermudas,1973,0,0
bahamas,1973,0,0
belgica,1973,0,0
brasil,1973,0,0
bulgaria,1973,0,0
canada,1973,0,0
chile,1973,328,133
croacia,1973,0,0
cuba,1973,0,0
emirados_arabes_unidos,1973,0,0
eslovenia,1973,0,0
espanha,1973,40172,28895
estados_unidos,1973,0,0
franca,1973,49453,186096
georgia,1973,0,0
granada,1973,0,0
grecia,1973,0,0
hong_kong,1973,0,0
hungria,1973,0,0
indonesia,1973,0,0
irlanda,1973,0,0
israel,1973,27,36
italia,1973,5854,5395
luxemburgo,1973,0,0
mexico,1973,0,0
moldavia,1973,0,0
nova_zelandia,1973,0,0
paises_baixos,1973,0,0
panama,1973,0,0
peru,1973,0,0
portugal,1973,30074,39670
reino_unido,1973,0,0
romenia,1973,0,0
suica,1973,0,0
tunisia,1973,0,0
ucrania,1973,0,0
uruguai,1973,0,0
nao_consta_na_tabela,1973,0,0
nao_declarados,1973,0,0
outros,1973,24,10054
africa_do_sul,1974,0,0
alemanha,1974,1667,2128
argentina,1974,2831,3035
australia,1974,0,0
austria,1974,0,0
bermudas,1974,0,0
bahamas,1974,0,0
belgica,1974,0,0
brasil,1974,0,0
bulgaria,1974,0,0
canada,1974,0,0
chile,1974,180,340
croacia,1974,0,0
cuba,1974,0,0
emirados_arabes_unidos,1974,0,0
eslovenia,1974,0,0
espanha,1974,41971,36350
estados_unidos,1974,0,0
franca,1974,83575,335930
georgia,1974,0,0
granada,1974,0,0
grecia,1974,0,0
hong_kong,1974,0,0
hungria,1974,0,0
indonesia,1974,0,0
irlanda,1974,0,0
israel,1974,0,0
italia,1974,24637,24784
luxemburgo,1974,0,0
mexico,1974,0,0
moldavia,1974,0,0
nova_zelandia,1974,0,0
paises_baixos,1974,0,0
panama,1974,0,0
peru,1974,0,0
portugal,1974,15886,29585
reino_unido,1974,0,0
romenia,1974,0,0
suica,1974,0,0
tunisia,1974,0,0
ucrania,1974,0,0
uruguai,1974,0,0
nao_consta_na_tabela,1974,0,0
nao_declarados,1974,0,0
outros,1974,1801,2999
africa_do_sul,1975,0,0
alemanha,1975,355,937
argentina,1975,11120,5732
australia,1975,0,0
austria,1975,0,0
bermudas,1975,0,0
bahamas,1975,0,0
belgica,1975,0,0
brasil,1975,0,0
bulgaria,1975,0,0
canada,1975,0,0
chile,1975,672,1140
croacia,1975,0,0
cuba,1975,0,0
emirados_arabes_unidos,1975,0,0
eslovenia,1975,0,0
espanha,1975,54863,51166
estados_unidos,1975,0,0
franca,1975,17770,80649
georgia,1975,0,0
granada,1975,0,0
grecia,1975,0,0
hong_kong,1975,0,0
hungria,1975,0,0
indonesia,1975,0,0
irlanda,1975,0,0
israel,1975,0,0
italia,1975,22782,19240
luxemburgo,1975,0,0
mexico,1975,0,0
moldavia,1975,0,0
nova_zelandia,1975,0,0
paises_baixos,1975,0,0
panama,1975,0,0
peru,1975,0,0
portugal,1975,2147,3798
reino_unido,1975,0,0
romenia,1975,0,0
suica,1975,0,0
tunisia,1975,0,0
ucrania,1975,0,0
uruguai,1975,0,0
nao_consta_na_tabela,1975,0,0
nao_declarados,1975,0,0
outros,1975,13096,17961
africa_do_sul,1976,0,0
alemanha,1976,1947,1880
argentina,1976,0,0
australia,1976,0,0
austria,1976,0,0
