pais,ano,quantidade_kg,quantidade_dolar
argelia,1970,0,0
argentina,1970,2412831,782408
brasil,1970,0,0
chile,1970,1557316,409704
colombia,1970,0,0
egito,1970,0,0
espanha,1970,1231522,404105
estados_unidos,1970,94669,39610
grecia,1970,126248,25488
italia,1970,0,0
mexico,1970,23240,11024
peru,1970,0,0
paraguai,1970,0,0
portugal,1970,28150,13872
panama,1970,0,0
reino_unido,1970,0,0
uruguai,1970,0,0
venezuela,1970,0,0
nao_consta_na_tabela,1970,0,0
outros,1970,0,0
argelia,1971,0,0
argentina,1971,1805310,684328
brasil,1971,0,0
chile,1971,1485897,381705
colombia,1971,3312,2168
egito,1971,0,0
espanha,1971,1371457,433924
estados_unidos,1971,12403,5760
grecia,1971,74700,14940
italia,1971,9960,1195
mexico,1971,12000,4800
peru,1971,0,0
paraguai,1971,0,0
portugal,1971,800,438
panama,1971,0,0
reino_unido,1971,0,0
uruguai,1971,0,0
venezuela,1971,400,511
nao_consta_na_tabela,1971,0,0
outros,1971,0,0
argelia,1972,0,0
argentina,1972,1965010,779841
brasil,1972,0,0
chile,1972,1680664,578569
colombia,1972,0,0
egito,1972,0,0
espanha,1972,617898,209416
estados_unidos,1972,17250,8980
grecia,1972,58500,13009
italia,1972,0,0
mexico,1972,0,0
peru,1972,0,0
paraguai,1972,0,0
portugal,1972,1000,2069
panama,1972,50,51
reino_unido,1972,120,85
uruguai,1972,0,0
venezuela,1972,3357,7565
nao_consta_na_tabela,1972,0,0
outros,1972,0,0
argelia,1973,0,0
argentina,1973,396840,253061
brasil,1973,0,0
chile,1973,2472710,958295
colombia,1973,63645,37098
egito,1973,0,0
espanha,1973,447401,199420
estados_unidos,1973,119095,79765
grecia,1973,90000,35000
italia,1973,0,0
mexico,1973,2500,1500
peru,1973,0,0
paraguai,1973,0,0
portugal,1973,0,0
panama,1973,0,0
reino_unido,1973,0,0
uruguai,1973,6300,3020
venezuela,1973,4672,9185
nao_consta_na_tabela,1973,0,0
outros,1973,0,0
argelia,1974,0,0
argentina,1974,1179250,591328
brasil,1974,0,0
chile,1974,2154407,958383
colombia,1974,131888,85894
egito,1974,0,0
espanha,1974,440559,210385
estados_unidos,1974,59064,40145
grecia,1974,0,0
italia,1974,0,0
mexico,1974,0,0
peru,1974,0,0
paraguai,1974,0,0
portugal,1974,0,0
panama,1974,0,0
reino_unido,1974,0,0
uruguai,1974,0,0
venezuela,1974,4006,6239
nao_consta_na_tabela,1974,0,0
outros,1974,0,0
argelia,1975,0,0
argentina,1975,527100,313210
brasil,1975,0,0
chile,1975,2276355,1261496
colombia,1975,300449,229579
egito,1975,0,0
espanha,1975,116765,55435
estados_unidos,1975,49955,33535
grecia,1975,0,0
italia,1975,0,0
mexico,1975,0,0
peru,1975,0,0
paraguai,1975,0,0
portugal,1975,0,0
panama,1975,0,0
reino_unido,1975,0,0
uruguai,1975,0,0
venezuela,1975,12734,20457
nao_consta_na_tabela,1975,0,0
outros,1975,0,0
argelia,1976,0,0
argentina,1976,1219700,651150
brasil,1976,0,0
chile,1976,3120369,1806900
colombia,1976,292849,252441
egito,1976,0,0
espanha,1976,0,0
estados_unidos,1976,19778,19416
grecia,1976,0,0
italia,1976,0,0
mexico,1976,0,0
peru,1976,0,0
paraguai,1976,0,0
portugal,1976,0,0
panama,1976,0,0
reino_unido,1976,0,0
uruguai,1976,0,0
venezuela,1976,500,1168
nao_consta_na_tabela,1976,0,0
outros,1976,0,0
argelia,1977,0,0
argentina,1977,1974174,1065046
brasil,1977,0,0
chile,1977,2802160,1635475
colombia,1977,476525,383198
egito,1977,0,0
espanha,1977,0,0
estados_unidos,1977,29160,23701
