pais,ano,quantidade_kg,quantidade_dolar
afeganistao,1970,0,0
africa_do_sul,1970,0,0
alemanha_republica_democratica,1970,0,0
arabia_saudita,1970,0,0
argentina,1970,1530058,845068
australia,1970,0,0
belgica,1970,0,0
chile,1970,4000,1040
china,1970,0,0
china_continental,1970,0,0
cingapura,1970,0,0
costa_rica,1970,0,0
emirados,1970,0,0
espanha,1970,20000,9584
estados_unidos,1970,415210,305494
franca,1970,0,0
grecia,1970,178475,56586
guiana_britanica,1970,334,202
india,1970,0,0
ira,1970,0,0
italia,1970,33600,11396
japao,1970,0,0
mexico,1970,170172,100310
paises_baixos,1970,104,91
paraguai,1970,0,0
peru,1970,0,0
portugal,1970,0,0
reino_unido,1970,39,29
suecia,1970,12000,3866
turquia,1970,124832,41962
uruguai,1970,0,0
uzbequistao,1970,0,0
venezuela,1970,0,0
nao_consta_na_tabela,1970,0,0
outros,1970,0,0
afeganistao,1971,0,0
africa_do_sul,1971,0,0
alemanha_republica_democratica,1971,0,0
arabia_saudita,1971,0,0
argentina,1971,1206326,936632
australia,1971,0,0
belgica,1971,0,0
chile,1971,0,0
china,1971,0,0
china_continental,1971,0,0
cingapura,1971,0,0
costa_rica,1971,0,0
emirados,1971,0,0
espanha,1971,15000,14403
estados_unidos,1971,429346,292067
franca,1971,0,0
grecia,1971,302825,95349
guiana_britanica,1971,0,0
india,1971,0,0
ira,1971,0,0
italia,1971,27860,7104
japao,1971,7221,4458
mexico,1971,209257,129483
paises_baixos,1971,0,0
paraguai,1971,0,0
peru,1971,0,0
portugal,1971,0,0
reino_unido,1971,211,174
suecia,1971,0,0
turquia,1971,306025,88018
uruguai,1971,0,0
uzbequistao,1971,0,0
venezuela,1971,0,0
nao_consta_na_tabela,1971,0,0
outros,1971,0,0
afeganistao,1972,0,0
africa_do_sul,1972,0,0
alemanha_republica_democratica,1972,3000,3366
arabia_saudita,1972,0,0
argentina,1972,1047482,981648
australia,1972,89025,52819
belgica,1972,0,0
chile,1972,0,0
china,1972,0,0
china_continental,1972,0,0
cingapura,1972,0,0
costa_rica,1972,0,0
emirados,1972,0,0
espanha,1972,57208,59951
estados_unidos,1972,411443,456999
franca,1972,0,0
grecia,1972,369763,134178
guiana_britanica,1972,0,0
india,1972,0,0
ira,1972,0,0
italia,1972,70000,20790
japao,1972,0,0
mexico,1972,150827,120736
paises_baixos,1972,0,0
paraguai,1972,0,0
peru,1972,0,0
portugal,1972,0,0
reino_unido,1972,276,249
suecia,1972,0,0
turquia,1972,556402,169087
uruguai,1972,0,0
uzbequistao,1972,0,0
venezuela,1972,0,0
nao_consta_na_tabela,1972,0,0
outros,1972,0,0
afeganistao,1973,0,0
africa_do_sul,1973,0,0
alemanha_republica_democratica,1973,0,0
arabia_saudita,1973,0,0
argentina,1973,1277380,1848195
australia,1973,0,0
belgica,1973,0,0
chile,1973,59747,66242
china,1973,0,0
china_continental,1973,25000,5210
cingapura,1973,0,0
costa_rica,1973,0,0
emirados,1973,0,0
espanha,1973,144000,170234
estados_unidos,1973,538195,700181
franca,1973,0,0
grecia,1973,132420,180586
guiana_britanica,1973,0,0
india,1973,0,0
ira,1973,0,0
italia,1973,59136,25428
japao,1973,0,0
mexico,1973,28906,24653
paises_baixos,1973,0,0
paraguai,1973,0,0
peru,1973,0,0
portugal,1973,0,0
reino_unido,1973,0,0
suecia,1973,0,0
turquia,1973,324242,276922
uruguai,1973,0,0
uzbequistao,1973,0,0
venezuela,1973,256,686
nao_consta_na_tabela,1973,0,0
outros,1973,0,0
afeganistao,1974,0,0
africa_do_sul,1974,0,0
alemanha_republica_democratica,1974,0,0
arabia_saudita,1974,0,0
argentina,1974,1004987,1154210
australia,1974,88754,88567
belgica,1974,0,0
chile,1974,0,0
china,1974,0,0
china_continental,1974,0,0
cingapura,1974,0,0
costa_rica,1974,0,0
emirados,1974,0,0
espanha,1974,9500,14640
estados_unidos,1974,953941,1447142
franca,1974,0,0
grecia,1974,139103,149364
guiana_britanica,1974,0,0
india,1974,0,0
ira,1974,0,0
italia,1974,69650,41790
japao,1974,0,0
mexico,1974,40000,60896
paises_baixos,1974,0,0
paraguai,1974,0,0
peru,1974,0,0
portugal,1974,0,0
reino_unido,1974,0,0
suecia,1974,0,0
turquia,1974,116338,118050
uruguai,1974,0,0
uzbequistao,1974,0,0
venezuela,1974,561,1236
nao_consta_na_tabela,1974,0,0
outros,1974,0,0
afeganistao,1975,0,0
africa_do_sul,1975,72000,54360
alemanha_republica_democratica,1975,29988,2283
arabia_saudita,1975,0,0
argentina,1975,1583972,1142114
australia,1975,66750,59852
belgica,1975,0,0
chile,1975,555818,714754
china,1975,0,0
china_continental,1975,0,0
cingapura,1975,0,0
costa_rica,1975,0,0
emirados,1975,0,0
espanha,1975,7500,15495
estados_unidos,1975,494268,674204
franca,1975,0,0
grecia,1975,28335,22989
guiana_britanica,1975,0,0
india,1975,0,0
ira,1975,5,0
italia,1975,150000,80854
japao,1975,0,0
mexico,1975,234900,293712
paises_baixos,1975,0,0
paraguai,1975,20000,12000
peru,1975,0,0
portugal,1975,0,0
reino_unido,1975,0,0
suecia,1975,0,0
turquia,1975,7000,4571
uruguai,1975,0,0
uzbequistao,1975,0,0
venezuela,1975,2240,6252
nao_consta_na_tabela,1975,0,0
outros,1975,0,0
afeganistao,1976,0,0
africa_do_sul,1976,0,0
alemanha_republica_democratica,1976,0,0
arabia_saudita,1976,0,0
argentina,1976,2731566,2573741
australia,1976,0,0
belgica,1976,0,0
chile,1976,582102,643686
china,1976,0,0
china_continental,1976,0,0
cingapura,1976,0,0
costa_rica,1976,0,0
emirados,1976,0,0
espanha,1976,2000,5320
estados_unidos,1976,25285,46885
franca,1976,0,0
grecia,1976,0,0
guiana_britanica,1976,0,0
india,1976,0,0
ira,1976,0,0
italia,1976,0,0
japao,1976,0,0
mexico,1976,172500,203960
paises_baixos,1976,12000,1038
paraguai,1976,0,0
peru,1976,0,0
portugal,1976,0,0
reino_unido,1976,0,0
suecia,1976,0,0
turquia,1976,0,0
uruguai,1976,0,0
uzbequistao,1976,0,0
venezuela,1976,270,817
nao_consta_na_tabela,1976,0,0
outros,1976,0,0
afeganistao,1977,0,0
africa_do_sul,1977,0,0
alemanha_republica_democratica,1977,0,0
arabia_saudita,1977,0,0
argentina,1977,2549687,2663929
australia,1977,0,0
belgica,1977,0,0
chile,1977,670742,1052119
china,1977,0,0
china_continental,1977,0,0
cingapura,1977,0,0
costa_rica,1977,0,0
emirados,1977,0,0
espanha,1977,0,0
estados_unidos,1977,171998,378357
franca,1977,0,0
grecia,1977,20000,23500
guiana_britanica,1977,0,0
india,1977,0,0
ira,1977,0,0
italia,1977,0,0
japao,1977,0,0
mexico,1977,686190,990436
paises_baixos,1977,0,0
paraguai,1977,0,0
peru,1977,0,0
portugal,1977,0,0
reino_unido,1977,0,0
suecia,1977,0,0
turquia,1977,0,0
uruguai,1977,0,0
uzbequistao,1977,0,0
venezuela,1977,0,0
nao_consta_na_tabela,1977,0,0
outros,1977,0,0
afeganistao,1978,0,0
africa_do_sul,1978,0,0
alemanha_republica_democratica,1978,0,0
arabia_saudita,1978,0,0
argentina,1978,2385266,2683017
australia,1978,0,0
belgica,1978,0,0
chile,1978,756026,1278523
china,1978,0,0
china_continental,1978,0,0
cingapura,1978,0,0
costa_rica,1978,0,0
emirados,1978,0,0
espanha,1978,3000,10850
estados_unidos,1978,102285,251489
franca,1978,0,0
grecia,1978,12500,12812
guiana_britanica,1978,0,0
india,1978,0,0
ira,1978,0,0
italia,1978,0,0
japao,1978,0,0
mexico,1978,778330,1154578
paises_baixos,1978,0,0
paraguai,1978,0,0
peru,1978,0,0
portugal,1978,0,0
reino_unido,1978,0,0
suecia,1978,0,0
turquia,1978,0,0
uruguai,1978,0,0
uzbequistao,1978,0,0
venezuela,1978,0,0
nao_consta_na_tabela,1978,0,0
outros,1978,0,0
afeganistao,1979,0,0
africa_do_sul,1979,0,0
alemanha_republica_democratica,1979,0,0
arabia_saudita,1979,0,0
argentina,1979,1527094,3998797
australia,1979,0,0
belgica,1979,0,0
chile,1979,1088002,2567693
china,1979,0,0
china_continental,1979,0,0
cingapura,1979,0,0
costa_rica,1979,0,0
emirados,1979,0,0
espanha,1979,1680,7056
estados_unidos,1979,53591,227326
franca,1979,0,0
grecia,1979,25000,36813
guiana_britanica,1979,0,0
india,1979,0,0
ira,1979,0,0
italia,1979,0,0
japao,1979,0,0
mexico,1979,1126710,2530026
paises_baixos,1979,0,0
paraguai,1979,0,0
peru,1979,0,0
portugal,1979,0,0
reino_unido,1979,0,0
suecia,1979,0,0
turquia,1979,0,0
uruguai,1979,0,0
uzbequistao,1979,0,0
venezuela,1979,0,0
nao_consta_na_tabela,1979,0,0
outros,1979,0,0
afeganistao,1980,0,0
africa_do_sul,1980,0,0
alemanha_republica_democratica,1980,0,0
arabia_saudita,1980,0,0
argentina,1980,1586137,3707049
australia,1980,0,0
belgica,1980,0,0
chile,1980,484040,1100566
china,1980,0,0
china_continental,1980,0,0
cingapura,1980,0,0
costa_rica,1980,0,0
emirados,1980,0,0
espanha,1980,0,0
estados_unidos,1980,148029,387349
franca,1980,0,0
grecia,1980,25000,50563
guiana_britanica,1980,0,0
india,1980,0,0
ira,1980,0,0
italia,1980,0,0
japao,1980,0,0
mexico,1980,1336070,2674311
paises_baixos,1980,0,0
paraguai,1980,0,0
peru,1980,0,0
portugal,1980,0,0
reino_unido,1980,0,0
