pais,ano,quantidade_kg,quantidade_dolar
africa_do_sul,1970,0,0.0
alemanha,1970,52297,30498.0
argelia,1970,0,0.0
arabia_saudita,1970,0,0.0
argentina,1970,19525,12260.0
armenia,1970,0,0.0
australia,1970,0,0.0
austria,1970,1328,707.0
bermudas,1970,0,nan
belgica,1970,0,0.0
bolivia,1970,0,0.0
bosnia_herzegovina,1970,0,0.0
brasil,1970,0,0.0
bulgaria,1970,0,0.0
canada,1970,0,0.0
chile,1970,162370,101819.0
china,1970,0,0.0
coreia_do_sul_republica,1970,0,0.0
croacia,1970,0,0.0
cuba,1970,0,0.0
emirados_arabes_unidos,1970,0,0.0
eslovenia,1970,0,0.0
eslovaquia,1970,0,0.0
espanha,1970,261126,90159.0
estados_unidos,1970,0,0.0
franca,1970,91544,78135.0
georgia,1970,0,0.0
georgia_do_sul_e_sandwich_do_sul_ilhas,1970,0,0.0
grecia,1970,0,0.0
hong_kong,1970,0,0.0
hungria,1970,0,0.0
indonesia,1970,0,0.0
irlanda,1970,0,0.0
israel,1970,0,0.0
italia,1970,58802,32376.0
japao,1970,0,0.0
iugoslavia,1970,702,326.0
libano,1970,0,0.0
luxemburgo,1970,0,0.0
macedonia,1970,0,0.0
marrocos,1970,0,0.0
mexico,1970,0,0.0
moldavia,1970,0,0.0
montenegro,1970,0,0.0
noruega,1970,0,0.0
nova_zelandia,1970,0,0.0
paises_baixos_holanda,1970,0,0.0
panama,1970,0,0.0
peru,1970,0,0.0
porto_rico,1970,0,0.0
portugal,1970,785609,531480.0
reino_unido,1970,0,0.0
republica_dominicana,1970,0,0.0
romenia,1970,0,0.0
russia,1970,0,0.0
san_marino,1970,0,0.0
servia,1970,0,0.0
siria,1970,0,0.0
suazilandia,1970,0,0.0
suica,1970,0,0.0
tcheca_republica,1970,0,0.0
tunisia,1970,0,0.0
turquia,1970,0,0.0
ucrania,1970,0,0.0
uruguai,1970,5767,1871.0
nao_consta_na_tabela,1970,0,0.0
nao_declarados,1970,0,0.0
outros,1970,5508,4255.0
