control,ano,quantidade_kilo
tintas,1970,284285642
tintas_bacarina,1970,82899
tintas_bailey,1970,0
tintas_bordo,1970,7242197
tintas_bourdin_s,1970,0
tintas_brscarmen,1970,0
tintas_brscora,1970,0
tintas_brs_magna,1970,0
tintas_brs_margot,1970,0
tintas_brsmorena,1970,0
tintas_brs_rubea,1970,0
tintas_brsvioleta,1970,0
tintas_brs_vitoria,1970,0
tintas_champagnon_champanheta,1970,0
tintas_colecoes,1970,0
tintas_concord,1970,5407624
tintas_concordclone30,1970,0
tintas_couderc,1970,2713692
tintas_cynthiana_1,1970,568653
tintas_herbemont,1970,62053013
tintas_iac138022,1970,0
tintas_isabel,1970,193840398
tintas_isabelprecoce,1970,0
tintas_jacquez,1970,390593
tintas_kyoko,1970,0
tintas_landot,1970,134384
tintas_mistura_de_uvas_americanas_tinto,1970,0
tintas_oberlin,1970,15682
tintas_othello,1970,33013
tintas_paco,1970,0
tintas_patricia,1970,0
tintas_seibel,1970,11803494
tintas_seibel2_seibeleto,1970,0
tintas_seyvewillard_tinta,1970,0
tintas_vênus,1970,0
brancaserosadas,1970,985007
brancaserosadas_baco,1970,4647
brancaserosadas_bokay,1970,0
brancaserosadas_brsclara,1970,0
brancaserosadas_brslorena,1970,0
brancaserosadas_couderc13,1970,0
brancaserosadas_delaware,1970,22705
brancaserosadas_donazilla,1970,0
brancaserosadas_dutchess,1970,0
brancaserosadas_goethe,1970,311458
brancaserosadas_iac,1970,0
brancaserosadas_juliana,1970,0
brancaserosadas_martha,1970,15045
brancaserosadas_mistura_de_uvas_americanas,1970,0
brancaserosadas_moscatoembrapa,1970,0
brancaserosadas_niagara,1970,631152
brancaserosadas_niagarabranca,1970,0
brancaserosadas_niagararosada,1970,0
brancaserosadas_poloske,1970,0
brancaserosadas_selecoes,1970,0
brancaserosadas_seyvevillard,1970,0
brancaserosadas_seyvevillard5276,1970,0
brancaserosadas_seyvevillard12375,1970,0
brancaserosadas_tardiadecaxias,1970,0
brancaserosadas_outras,1970,0
tintas,1971,193695427
tintas_bacarina,1971,106962
tintas_bailey,1971,0
tintas_bordo,1971,7227090
tintas_bourdin_s,1971,0
tintas_brscarmen,1971,0
tintas_brscora,1971,0
tintas_brs_magna,1971,0
tintas_brs_margot,1971,0
tintas_brsmorena,1971,0
tintas_brs_rubea,1971,0
tintas_brsvioleta,1971,0
tintas_brs_vitoria,1971,0
tintas_champagnon_champanheta,1971,0
tintas_colecoes,1971,0
tintas_concord,1971,3726469
tintas_concordclone30,1971,0
tintas_couderc,1971,2835642
tintas_cynthiana_1,1971,419550
tintas_herbemont,1971,43864620
tintas_iac138022,1971,0
tintas_isabel,1971,126754464
tintas_isabelprecoce,1971,0
tintas_jacquez,1971,203081
tintas_kyoko,1971,0
tintas_landot,1971,106917
tintas_mistura_de_uvas_americanas_tinto,1971,0
tintas_oberlin,1971,34722
tintas_othello,1971,106190
tintas_paco,1971,0
tintas_patricia,1971,0
tintas_seibel,1971,8309720
tintas_seibel2_seibeleto,1971,0
tintas_seyvewillard_tinta,1971,0
tintas_vênus,1971,0
brancaserosadas,1971,557294
brancaserosadas_baco,1971,5873
brancaserosadas_bokay,1971,0
brancaserosadas_brsclara,1971,0
brancaserosadas_brslorena,1971,0
brancaserosadas_couderc13,1971,0
brancaserosadas_delaware,1971,22883
brancaserosadas_donazilla,1971,0
brancaserosadas_dutchess,1971,0
brancaserosadas_goethe,1971,267549
brancaserosadas_iac,1971,0
brancaserosadas_juliana,1971,0
brancaserosadas_martha,1971,21972
brancaserosadas_mistura_de_uvas_americanas,1971,0
brancaserosadas_moscatoembrapa,1971,0
brancaserosadas_niagara,1971,239017
