control,ano,quantidade_kg
sc,1970,3675463
sc,1971,665425
sc,1972,197232
sc,1973,491357
sc,1974,57307
sc,1975,540146
sc,1976,24440
sc,1977,9743
sc,1978,85475
sc,1979,2317099
sc,1980,306970
sc,1981,494703
sc,1982,1719913
sc,1983,21742
sc,1984,99929
sc,1985,104929
sc,1986,12689
sc,1987,99743
sc,1988,0
sc,1989,0
sc,1990,0
sc,1991,0
sc,1992,0
sc,1993,0
sc,1994,0
sc,1995,0
sc,1996,0
sc,1997,0
sc,1998,0
sc,1999,0
sc,2000,152517
sc,2001,0
sc,2002,0
sc,2003,0
sc,2004,0
sc,2005,0
sc,2006,0
sc,2007,0
sc,2008,0
sc,2009,0
sc,2010,0
sc,2011,0
sc,2012,0
sc,2013,0
sc,2014,0
sc,2015,0
sc,2016,0
sc,2017,0
sc,2018,0
sc,2019,
sc,2020,166947
sc,2021,0
sc,2022,
