control,ano,quantidade_kilo
tintas,1970,56976
tintas_alphonse_lavallee,1970,31878
tintas_moscato_de_hamburgo,1970,25098
brancas,1970,3900
brancaserosadas_cardinal,1970,0
brancaserosadas_golden_queen,1970,167
brancaserosadas_patricia,1970,0
brancaserosadas_perlona,1970,0
brancaserosadas_italia,1970,3733
"brancaserosadas_rubi_italia,_italia_ro",1970,0
tintas,1971,43390
tintas_alphonse_lavallee,1971,2333
tintas_moscato_de_hamburgo,1971,41057
brancas,1971,16335
brancaserosadas_cardinal,1971,0
brancaserosadas_golden_queen,1971,8654
brancaserosadas_patricia,1971,0
brancaserosadas_perlona,1971,0
brancaserosadas_italia,1971,7681
"brancaserosadas_rubi_italia,_italia_ro",1971,0
tintas,1972,4428
tintas_alphonse_lavallee,1972,170
tintas_moscato_de_hamburgo,1972,4258
brancas,1972,6829
brancaserosadas_cardinal,1972,0
brancaserosadas_golden_queen,1972,657
brancaserosadas_patricia,1972,0
brancaserosadas_perlona,1972,4027
brancaserosadas_italia,1972,2145
"brancaserosadas_rubi_italia,_italia_ro",1972,0
tintas,1973,8939
tintas_alphonse_lavallee,1973,7690
tintas_moscato_de_hamburgo,1973,1249
brancas,1973,8052
brancaserosadas_cardinal,1973,0
brancaserosadas_golden_queen,1973,7312
brancaserosadas_patricia,1973,0
brancaserosadas_perlona,1973,0
brancaserosadas_italia,1973,740
"brancaserosadas_rubi_italia,_italia_ro",1973,0
tintas,1974,125563
tintas_alphonse_lavallee,1974,124762
tintas_moscato_de_hamburgo,1974,801
brancas,1974,278951
brancaserosadas_cardinal,1974,0
brancaserosadas_golden_queen,1974,8467
brancaserosadas_patricia,1974,0
brancaserosadas_perlona,1974,1695
brancaserosadas_italia,1974,268789
"brancaserosadas_rubi_italia,_italia_ro",1974,0
tintas,1975,183731
tintas_alphonse_lavallee,1975,74293
tintas_moscato_de_hamburgo,1975,109438
brancas,1975,587745
brancaserosadas_cardinal,1975,0
brancaserosadas_golden_queen,1975,6805
brancaserosadas_patricia,1975,0
brancaserosadas_perlona,1975,1223
brancaserosadas_italia,1975,579717
"brancaserosadas_rubi_italia,_italia_ro",1975,0
tintas,1976,88512
tintas_alphonse_lavallee,1976,23684
tintas_moscato_de_hamburgo,1976,64828
brancas,1976,153445
brancaserosadas_cardinal,1976,0
brancaserosadas_golden_queen,1976,0
brancaserosadas_patricia,1976,0
brancaserosadas_perlona,1976,1406
brancaserosadas_italia,1976,152039
"brancaserosadas_rubi_italia,_italia_ro",1976,0
tintas,1977,113591
tintas_alphonse_lavallee,1977,24430
tintas_moscato_de_hamburgo,1977,89161
brancas,1977,230332
brancaserosadas_cardinal,1977,0
brancaserosadas_golden_queen,1977,2391
brancaserosadas_patricia,1977,0
brancaserosadas_perlona,1977,0
brancaserosadas_italia,1977,227941
"brancaserosadas_rubi_italia,_italia_ro",1977,0
tintas,1978,107994
tintas_alphonse_lavallee,1978,17339
tintas_moscato_de_hamburgo,1978,90655
brancas,1978,244151
brancaserosadas_cardinal,1978,0
brancaserosadas_golden_queen,1978,8715
brancaserosadas_patricia,1978,0
brancaserosadas_perlona,1978,0
brancaserosadas_italia,1978,235436
"brancaserosadas_rubi_italia,_italia_ro",1978,0
tintas,1979,160889
tintas_alphonse_lavallee,1979,88822
tintas_moscato_de_hamburgo,1979,72067
brancas,1979,148002
brancaserosadas_cardinal,1979,0
brancaserosadas_golden_queen,1979,2051
brancaserosadas_patricia,1979,0
brancaserosadas_perlona,1979,11377
brancaserosadas_italia,1979,134574
"brancaserosadas_rubi_italia,_italia_ro",1979,0
