control,ano,quantidade_kg
tintas,1970,10448228
tintas_alicante_bouschet,1970,0
tintas_ancelota,1970,0
tintas_aramon,1970,0
tintas_alfrocheiro,1970,0
tintas_arinarnoa,1970,0
tintas_aspirant_bouschet,1970,0
tintas_barbera,1970,4548313
tintas_bonarda,1970,1631610
tintas_cabernet_franc,1970,238837
tintas_cabernet_sauvignon,1970,0
tintas_caladoc,1970,0
tintas_campanario,1970,0
tintas_canaiolo,1970,596766
tintas_carignan,1970,0
tintas_carmenere,1970,1235
tintas_castelao,1970,0
tintas_corvina,1970,0
tintas_croatina,1970,0
tintas_cinsaut,1970,0
tintas_dom_felder,1970,0
tintas_dolcetto,1970,0
tintas_durif,1970,0
tintas_egiodola,1970,0
tintas_ekigaina,1970,0
tintas_festival_sugraone,1970,0
tintas_franconia,1970,0
tintas_freisa,1970,1661
tintas_gamay_st_romain,1970,0
tintas_gamay_beaujolais,1970,0
tintas_gra_noir,1970,0
tintas_grenache,1970,19753
tintas_jaen,1970,0
tintas_lagrein,1970,0
tintas_lambrusco,1970,2259
tintas_malbec,1970,4097
tintas_marzemina,1970,62546
tintas_merlot,1970,185596
tintas_marselan,1970,0
tintas_molinera,1970,0
tintas_montepulciano,1970,0
tintas_moscato_bailey,1970,0
tintas_napa_gamay,1970,0
tintas_nebbiolo,1970,0
tintas_petit_verdot,1970,0
tintas_petite_sirah,1970,0
tintas_pinotage,1970,0
tintas_pinot_noir,1970,0
tintas_pinot_saint_george,1970,0
tintas_piriquita,1970,0
tintas_rebo,1970,0
tintas_refosco,1970,0
tintas_roinella,1970,0
tintas_ruby_cabernet,1970,0
tintas_sangiovese,1970,27566
tintas_sira_falsa,1970,3127989
tintas_tannat,1970,0
tintas_tempranillo,1970,0
tintas_teroldego,1970,0
tintas_torrontes,1970,0
tintas_tinta_barroca,1970,0
tintas_touriga_francesa,1970,0
tintas_touriga_nacional,1970,0
tintas_tinta_madeira,1970,0
tintas_tintoria,1970,0
tintas_trincdeira,1970,0
tintas_trousseau,1970,0
tintas_zinfael,1970,0
tintas_outras1,1970,0
brancaserosadas,1970,18858541
brancaserosadas_aliatico,1970,0
brancaserosadas_aligote,1970,530
brancaserosadas_altesse,1970,0
brancaserosadas_alvarinho,1970,0
brancaserosadas_arriloba,1970,0
brancaserosadas_auxerrois,1970,0
brancaserosadas_burger,1970,0
brancaserosadas_chardonnay,1970,0
brancaserosadas_chasselas,1970,0
brancaserosadas_chenin_blanc,1970,0
brancaserosadas_clairette_1,1970,146617
brancaserosadas_colombard,1970,0
brancaserosadas_flora,1970,0
brancaserosadas_garganega,1970,0
brancaserosadas_gewurztraminer,1970,0
brancaserosadas_gouveio,1970,0
brancaserosadas_gros_manseng,1970,0
brancaserosadas_italia_pirovano_65_pe,1970,0
brancaserosadas_maccabeo,1970,0
brancaserosadas_malvasia,1970,878012
brancaserosadas_malvasia_amarela,1970,0
brancaserosadas_malvasia_bianca,1970,0
brancaserosadas_malvasia_chianti,1970,0
brancaserosadas_malvasia_verde,1970,0
brancaserosadas_malvasia_di_caia,1970,0
brancaserosadas_malvasia_istriana,1970,0
brancaserosadas_mistura_de_uvas_viniferas,1970,0
brancaserosadas_mistura_de_uvas_viniferas,1970,0
brancaserosadas_moscato_branco,1970,5772931
brancaserosadas_moscato_canelli,1970,0
brancaserosadas_moscato_giallo,1970,0
brancaserosadas_moscato_nazareno,1970,0
brancaserosadas_moscato_bianco_r2,1970,0
brancaserosadas_moscato_de_alexaria,1970,0
brancaserosadas_moscato_rosado,1970,0
brancaserosadas_muscat_a_petits_grains,1970,0
brancaserosadas_muller_thurgau,1970,0
brancaserosadas_muscadelle,1970,0
brancaserosadas_ora,1970,0
brancaserosadas_palomino,1970,0
brancaserosadas_petit_manseng,1970,0
brancaserosadas_peverella,1970,2084128
brancaserosadas_pinot_blanc,1970,4000
brancaserosadas_pinot_gris,1970,0
brancaserosadas_prosecco,1970,0
brancaserosadas_red_veltliner,1970,0
brancaserosadas_riesling_italico,1970,413149
brancaserosadas_riesling_renano,1970,0
brancaserosadas_sauvignon_blanc_2,1970,2819
brancaserosadas_sauvignon_gris,1970,0
brancaserosadas_seara_nova,1970,0
brancaserosadas_semillon,1970,1916
brancaserosadas_schonburger,1970,0
brancaserosadas_sylvaner,1970,0
brancaserosadas_tocai_friulano,1970,0
brancaserosadas_trebbiano,1970,7277270
brancaserosadas_trebbiano_toscano,1970,0
brancaserosadas_verdea,1970,0
brancaserosadas_verdelho,1970,0
brancaserosadas_verdiso,1970,7950
brancaserosadas_vermentino,1970,20461
brancaserosadas_vernaccia,1970,122467
brancaserosadas_viognier,1970,0
brancaserosadas_outras_3,1970,2126291
tintas,1971,11012833
tintas_alicante_bouschet,1971,0
